start_date,end_date,consolidated_power_consumption_value,updated_date,status
2021-01-01 23:30:00+01:00,2021-01-02 00:00:00+01:00,67161,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 23:00:00+01:00,2021-01-01 23:30:00+01:00,67278,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 22:30:00+01:00,2021-01-01 23:00:00+01:00,68069,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 22:00:00+01:00,2021-01-01 22:30:00+01:00,65829,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 21:30:00+01:00,2021-01-01 22:00:00+01:00,65175,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 21:00:00+01:00,2021-01-01 21:30:00+01:00,66237,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 20:30:00+01:00,2021-01-01 21:00:00+01:00,67428,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 20:00:00+01:00,2021-01-01 20:30:00+01:00,68596,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 19:30:00+01:00,2021-01-01 20:00:00+01:00,69491,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 19:00:00+01:00,2021-01-01 19:30:00+01:00,69549,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 18:30:00+01:00,2021-01-01 19:00:00+01:00,68935,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 18:00:00+01:00,2021-01-01 18:30:00+01:00,67696,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 17:30:00+01:00,2021-01-01 18:00:00+01:00,66240,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 17:00:00+01:00,2021-01-01 17:30:00+01:00,63902,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 16:30:00+01:00,2021-01-01 17:00:00+01:00,61401,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 16:00:00+01:00,2021-01-01 16:30:00+01:00,60611,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 15:30:00+01:00,2021-01-01 16:00:00+01:00,60513,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 15:00:00+01:00,2021-01-01 15:30:00+01:00,60902,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 14:30:00+01:00,2021-01-01 15:00:00+01:00,61304,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 14:00:00+01:00,2021-01-01 14:30:00+01:00,62455,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 13:30:00+01:00,2021-01-01 14:00:00+01:00,63618,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 13:00:00+01:00,2021-01-01 13:30:00+01:00,65243,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 12:30:00+01:00,2021-01-01 13:00:00+01:00,66909,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 12:00:00+01:00,2021-01-01 12:30:00+01:00,66216,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 11:30:00+01:00,2021-01-01 12:00:00+01:00,64974,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 11:00:00+01:00,2021-01-01 11:30:00+01:00,63967,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 10:30:00+01:00,2021-01-01 11:00:00+01:00,63095,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 10:00:00+01:00,2021-01-01 10:30:00+01:00,62355,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 09:30:00+01:00,2021-01-01 10:00:00+01:00,61525,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 09:00:00+01:00,2021-01-01 09:30:00+01:00,60508,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 08:30:00+01:00,2021-01-01 09:00:00+01:00,59688,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 08:00:00+01:00,2021-01-01 08:30:00+01:00,59326,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 07:30:00+01:00,2021-01-01 08:00:00+01:00,59329,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 07:00:00+01:00,2021-01-01 07:30:00+01:00,58938,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 06:30:00+01:00,2021-01-01 07:00:00+01:00,58588,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 06:00:00+01:00,2021-01-01 06:30:00+01:00,58415,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 05:30:00+01:00,2021-01-01 06:00:00+01:00,57620,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 05:00:00+01:00,2021-01-01 05:30:00+01:00,57621,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 04:30:00+01:00,2021-01-01 05:00:00+01:00,57109,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 04:00:00+01:00,2021-01-01 04:30:00+01:00,57674,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 03:30:00+01:00,2021-01-01 04:00:00+01:00,58341,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 03:00:00+01:00,2021-01-01 03:30:00+01:00,59702,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 02:30:00+01:00,2021-01-01 03:00:00+01:00,61113,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 02:00:00+01:00,2021-01-01 02:30:00+01:00,62995,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 01:30:00+01:00,2021-01-01 02:00:00+01:00,63688,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 01:00:00+01:00,2021-01-01 01:30:00+01:00,64223,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 00:30:00+01:00,2021-01-01 01:00:00+01:00,64389,2023-10-23 17:38:58+02:00,FINAL
2021-01-01 00:00:00+01:00,2021-01-01 00:30:00+01:00,66482,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 23:30:00+01:00,2021-01-03 00:00:00+01:00,69204,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 23:00:00+01:00,2021-01-02 23:30:00+01:00,69426,2023-10-23 17:38:58+02:00,FINAL
